Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
Two Foxes (2024),"Romance, Drama",24.0,"Dec 17, 2024 - Dec 19, 2024",7.3,7481.0,605,"Cheng Yu Feng, Cui Yi Liang, Guo Xing Ye, Ma Li, Hu Jian, Han Shuo","Dec 17, 2024","Dec 19, 2024"
Unspeakable Longing (2024),"Historical, Romance, Fantasy",24.0,"Aug 29, 2024 - Sep 14, 2024",7.4,7365.0,"1,148","Lin Xin Yi, Yan Zi Xian, Li Bo Yan, He Shi, Liu Jia Xi, Liu Wei Zhou","Aug 29, 2024","Sep 14, 2024"
Beauty Strategy (2024),"Historical, Romance, Fantasy",24.0,"Jun 18, 2024 - Jun 27, 2024",7.3,7559.0,"1,912","Guan Chang, Zhang Jing Yun, Zhu Jin Tong, Yuan Zi Ming, Cheung Hoi Yuet, Li Xi Yuan","Jun 18, 2024","Jun 27, 2024"
My Piggy Boss (2024),"Comedy, Romance, Sci-Fi, Fantasy",12.0,"Feb 2, 2024 - Feb 4, 2024",7.3,7590.0,"1,007","Zhu Lin Yu, Lu Dong Xu, Liang Chen, Na Sheng Yan, Yang Jun Han","Feb 2, 2024","Feb 4, 2024"
The Soulmate (2024),"Thriller, Historical, Mystery",24.0,"Feb 3, 2024 - Feb 14, 2024",7.3,7742.0,"1,031","Snow Kong, Li Ge Yang, Zhang Hao Yu, Gong Zheng Ye, Zhu Jin Tong, Wang Yu","Feb 3, 2024","Feb 14, 2024"
Love & Bid Farewell (2024),"Historical, Romance, Crime",24.0,"Aug 18, 2024 - Sep 3, 2024",7.3,7628.0,"2,088","He Xuan Lin, Yan Zi Xian, Gao Ming Chen, Mo Han, Zhou Pei Chen","Aug 18, 2024","Sep 3, 2024"
Eternal Lovesickness (2024),"Historical, Romance",24.0,"Jun 23, 2024 - Jun 29, 2024",7.3,7766.0,654,"Ma Si Han, Wang Yi Tian, Zhang Chi, Yang Tao, Xu Ming Zheng, Liu Xin Nian","Jun 23, 2024","Jun 29, 2024"
Debit Queen (2024),"Historical, Comedy, Romance, Drama",24.0,"Aug 29, 2024 - Sep 4, 2024",7.3,7678.0,"1,963","Zhao Yi Qin, Li Jia Qi, Jiang Jun Han, Pan Yue, Wang Zun, Deng Zhi Yuan","Aug 29, 2024","Sep 4, 2024"
Please Remember Me (2024),"Thriller, Historical, Romance, Fantasy",30.0,"Sep 19, 2024 - Sep 26, 2024",7.3,7842.0,"1,258","Yang Ze, Zong Yuan Yuan, Zhang Fei Fei, Wang Ya Ni, Wang Jia Mao, Ming Yue","Sep 19, 2024","Sep 26, 2024"
Fate of Beauty (2024),"Historical, Romance, Drama",24.0,"Sep 22, 2024 - Oct 8, 2024",7.3,7725.0,887,"Zhang Chu Han, Zhao Huan Ran, Yan Zi Xian, Qi Diao Yi Rou, Cai Hai Ting, Yi Fan","Sep 22, 2024","Oct 8, 2024"
The Rebel Empress (2024),"Historical, Mystery, Romance, Fantasy",24.0,"May 18, 2024 - Jun 3, 2024",7.3,7771.0,"1,343","Yu Xuan Chen, Ji Shu Yi, Zeng Xi Tang, Zhou Rong Qian, Wang Yi Nan, Wang Hong Qian","May 18, 2024","Jun 3, 2024"
Chasing Love (2024),"Historical, Romance, Fantasy",24.0,"Feb 22, 2024 - Mar 8, 2024",7.3,7775.0,"1,027","Smile Hu, Yan Zi Xian, Bi Shao Yan, Wang Jun Zhe, Zhu Que Cheng","Feb 22, 2024","Mar 8, 2024"
The Princess (2024),"Historical, Mystery, Romance, Drama",40.0,"Sep 26, 2024 - Oct 11, 2024",7.3,7685.0,"1,054","Yuan Hao, Jiang Zhi Nan, Qiu Hong Kai, Zhu Zi Jie, Zhao Qi Yue, Roada Xu","Sep 26, 2024","Oct 11, 2024"
Blade's Dance with You (2024),"Thriller, Historical, Romance, Crime",24.0,"Jun 20, 2024 - Jul 6, 2024",7.3,7847.0,"1,259","Hong Xiao, Yang Ze, Bellamy, Sun An Qi, Wang Zhi Yong, Wang Jia Li","Jun 20, 2024","Jul 6, 2024"
Walk with You (2024),"Historical, Romance, Supernatural",24.0,"Apr 23, 2024 - Apr 26, 2024",7.3,7934.0,"1,145","Lin Ze Hui, Zizi Xu, Zhu Min Xin, He Shi, Gao Kai, Zhu Xin Yuan","Apr 23, 2024","Apr 26, 2024"
Dusk Love (2024),"Business, Romance",24.0,"Feb 20, 2024 - Feb 26, 2024",7.3,8049.0,"5,462","An Yong Chang, Dai Gao Zheng, Wang Ze Xuan, Chen Yu, Wang Ye, Ge Xiao Xi","Feb 20, 2024","Feb 26, 2024"
Joy of Life Season 2 (2024),"Comedy, Romance, Wuxia, Fantasy",36.0,"May 16, 2024 - May 30, 2024",9.0,64.0,"12,002","Zhang Ruo Yun, Wu Gang, Li Qin, Chen Dao Ming, Tian Yu, Song Yi","May 16, 2024","May 30, 2024"
The Spirealm (2024),"Mystery, Horror, Comedy, Fantasy",78.0,"Feb 2, 2024",8.9,90.0,"12,781","Xia Zhi Guang, Huang Jun Jie, Liu Ruo Gu, Liu Xiao Bei, Lu Meng Lin, Yan Zi Xian","Feb 2, 2024",
